alpha_1,alpha_2,Im(lambda_6),Re(lambda_6),Re(lambda_5)
0.10001,4.30001,2.926773972,-0.701502441,-0.701502441
0.10001,4.35001,2.924851514,-0.70150467,-0.70150467
0.10001,4.40001,2.922974764,-0.701506828,-0.701506828
0.10001,4.45001,2.921142412,-0.701508917,-0.701508917
0.10001,4.50001,2.919353198,-0.701510941,-0.701510941
0.10001,4.55001,2.91760591,-0.7015129,-0.7015129
0.10001,4.60001,2.915899382,-0.701514799,-0.701514799
0.10001,4.65001,2.914232491,-0.701516638,-0.701516638
0.10001,4.70001,2.912604155,-0.70151842,-0.70151842
0.10001,4.75001,2.911013331,-0.701520147,-0.701520147
0.10001,4.80001,2.909459014,-0.701521822,-0.701521822
0.10001,4.85001,2.907940236,-0.701523445,-0.701523445
0.10001,4.90001,2.906456062,-0.701525018,-0.701525018
0.10001,4.95001,2.90500559,-0.701526544,-0.701526544
0.15001,0.00001,7.378779002,2.399628801,2.399628801
0.15001,0.05001,6.030701799,-0.621822362,-0.621822362
0.15001,0.10001,5.299161135,-0.669689226,-0.669689226
0.15001,0.15001,4.914074027,-0.683105684,-0.683105684
0.15001,0.20001,4.661184934,-0.689080245,-0.689080245
0.15001,0.25001,4.476831769,-0.692364052,-0.692364052
0.15001,0.30001,4.333888723,-0.694403894,-0.694403894
0.15001,0.35001,4.218421264,-0.695777194,-0.695777194
0.15001,0.40001,4.122380744,-0.696756065,-0.696756065
0.15001,0.45001,4.040725339,-0.697484193,-0.697484193
0.15001,0.50001,3.970102344,-0.698044029,-0.698044029
0.15001,0.55001,3.908177502,-0.698486001,-0.698486001
0.15001,0.60001,3.85326527,-0.698842543,-0.698842543
0.15001,0.65001,3.804111873,-0.699135389,-0.699135389
0.15001,0.70001,3.759761428,-0.699379604,-0.699379604
0.15001,0.75001,3.719469846,-0.699585936,-0.699585936
0.15001,0.80001,3.682647509,-0.699762238,-0.699762238
0.15001,0.85001,3.648819944,-0.699914375,-0.699914375
0.15001,0.90001,3.617600166,-0.700046808,-0.700046808
0.15001,0.95001,3.588668771,-0.700162981,-0.700162981
0.15001,1.00001,3.561759341,-0.700265599,-0.700265599
0.15001,1.05001,3.536647544,-0.700356808,-0.700356808
0.15001,1.10001,3.513142882,-0.700438333,-0.700438333
0.15001,1.15001,3.491082332,-0.700511575,-0.700511575
0.15001,1.20001,3.470325411,-0.700577684,-0.700577684
0.15001,1.25001,3.450750285,-0.700637608,-0.700637608
0.15001,1.30001,3.432250671,-0.700692139,-0.700692139
0.15001,1.35001,3.414733356,-0.700741942,-0.700741942
0.15001,1.40001,3.39811618,-0.700787581,-0.700787581
0.15001,1.45001,3.382326392,-0.700829531,-0.700829531
0.15001,1.50001,3.367299298,-0.700868204,-0.700868204
0.15001,1.55001,3.352977137,-0.700903951,-0.700903951
0.15001,1.60001,3.339308151,-0.700937076,-0.700937076
0.15001,1.65001,3.326245793,-0.700967845,-0.700967845
0.15001,1.70001,3.313748072,-0.700996486,-0.700996486
0.15001,1.75001,3.301776988,-0.701023204,-0.701023204
0.15001,1.80001,3.290298053,-0.701048176,-0.701048176
0.15001,1.85001,3.279279883,-0.701071559,-0.701071559
0.15001,1.90001,3.268693843,-0.701093492,-0.701093492
0.15001,1.95001,3.258513746,-0.701114099,-0.701114099
0.15001,2.00001,3.248715585,-0.70113349,-0.70113349
0.15001,2.05001,3.239277305,-0.701151764,-0.701151764
0.15001,2.10001,3.230178603,-0.701169009,-0.701169009
0.15001,2.15001,3.221400751,-0.701185305,-0.701185305
0.15001,2.20001,3.212926442,-0.701200724,-0.701200724
0.15001,2.25001,3.20473965,-0.701215331,-0.701215331
0.15001,2.30001,3.196825516,-0.701229184,-0.701229184
0.15001,2.35001,3.189170236,-0.701242337,-0.701242337
0.15001,2.40001,3.181760965,-0.701254838,-0.701254838
0.15001,2.45001,3.174585738,-0.701266731,-0.701266731
0.15001,2.50001,3.167633388,-0.701278057,-0.701278057
0.15001,2.55001,3.16089348,-0.701288853,-0.701288853
0.15001,2.60001,3.154356253,-0.701299153,-0.701299153
0.15001,2.65001,3.148012561,-0.701308987,-0.701308987
0.15001,2.70001,3.141853825,-0.701318385,-0.701318385
0.15001,2.75001,3.135871989,-0.701327373,-0.701327373
0.15001,2.80001,3.13005948,-0.701335975,-0.701335975
0.15001,2.85001,3.124409169,-0.701344214,-0.701344214
0.15001,2.90001,3.118914342,-0.70135211,-0.70135211
0.15001,2.95001,3.113568663,-0.701359684,-0.701359684
0.15001,3.00001,3.108366152,-0.701366951,-0.701366951
0.15001,3.05001,3.103301161,-0.70137393,-0.70137393
0.15001,3.10001,3.098368344,-0.701380636,-0.701380636
0.15001,3.15001,3.093562642,-0.701387084,-0.701387084
0.15001,3.20001,3.088879261,-0.701393285,-0.701393285
0.15001,3.25001,3.084313656,-0.701399254,-0.701399254
0.15001,3.30001,3.079861514,-0.701405002,-0.701405002
0.15001,3.35001,3.075518737,-0.70141054,-0.70141054
0.15001,3.40001,3.071281431,-0.701415878,-0.701415878
0.15001,3.45001,3.067145892,-0.701421025,-0.701421025
0.15001,3.50001,3.063108594,-0.701425992,-0.701425992
0.15001,3.55001,3.059166178,-0.701430785,-0.701430785
0.15001,3.60001,3.055315444,-0.701435414,-0.701435414
0.15001,3.65001,3.051553337,-0.701439886,-0.701439886
0.15001,3.70001,3.047876944,-0.701444207,-0.701444207
0.15001,3.75001,3.044283481,-0.701448385,-0.701448385
0.15001,3.80001,3.040770291,-0.701452425,-0.701452425
0.15001,3.85001,3.037334829,-0.701456334,-0.701456334
