alpha_1,alpha_2,imaginary,real
720.036,16560.036,1.544480018,-0.697137454
1080.036,24840.036,1.544481029,-0.69713624
1440.036,33120.036,1.544481534,-0.697135632
1440.036,32760.036,1.544902848,-0.69713127
1080.036,24480.036,1.545044798,-0.69713042
720.036,16200.036,1.545331792,-0.697128713
1440.036,32400.036,1.545333397,-0.697126809
1080.036,24120.036,1.545625166,-0.697124423
1440.036,32040.036,1.545773489,-0.697122247
360.036,7920.036,1.546218344,-0.697123554
720.036,15840.036,1.546221744,-0.69711957
1080.036,23760.036,1.546222877,-0.697118242
1440.036,31680.036,1.546223444,-0.697117579
1440.036,31320.036,1.546683597,-0.697112801
1080.036,23400.036,1.546838719,-0.697111869
720.036,15480.036,1.547152498,-0.697109997
1440.036,30960.036,1.547154301,-0.697107912
1080.036,23040.036,1.547473531,-0.697105293
1440.036,30600.036,1.54763592,-0.697102905
360.036,7560.036,1.548123101,-0.697104336
720.036,15120.036,1.548126927,-0.697099963
1080.036,22680.036,1.548128203,-0.697098505
1440.036,30240.036,1.54812884,-0.697097776
1440.036,29880.036,1.548633464,-0.697092523
1080.036,22320.036,1.548803681,-0.697091495
720.036,14760.036,1.54914818,-0.697089433
1440.036,29520.036,1.549150213,-0.697087138
1080.036,21960.036,1.549500974,-0.697084252
1440.036,29160.036,1.549679529,-0.697081619
360.036,7200.036,1.550215395,-0.697083192
720.036,14400.036,1.550219716,-0.69707837
1080.036,21600.036,1.550221157,-0.697076763
1440.036,28800.036,1.550221877,-0.697075959
1800.036,35640.036,1.550665909,-0.697070835
1440.036,28440.036,1.550777745,-0.697070154
1080.036,21240.036,1.550965375,-0.697069016
1800.036,35280.036,1.551118421,-0.697066096
720.036,14040.036,1.551345343,-0.697066733
1440.036,28080.036,1.551347643,-0.697064197
1800.036,34920.036,1.551580117,-0.697061257
1080.036,20880.036,1.551734852,-0.697060998
1440.036,27720.036,1.551932111,-0.697058082
1800.036,34560.036,1.55205128,-0.697056316
360.036,6840.036,1.552524361,-0.697059819
720.036,13680.036,1.552529262,-0.697054475
1080.036,20520.036,1.552530897,-0.697052694
1440.036,27360.036,1.552531714,-0.697051803
1800.036,34200.036,1.552532205,-0.697051269
1800.036,33840.036,1.553023197,-0.697046112
1440.036,27000.036,1.553147048,-0.697045354
1080.036,20160.036,1.55335491,-0.697044088
1800.036,33480.036,1.553524576,-0.697040842
720.036,13320.036,1.553776125,-0.697041546
1440.036,26640.036,1.553778741,-0.697038727
1800.036,33120.036,1.554036676,-0.697035455
1080.036,19800.036,1.554208392,-0.697035164
1440.036,26280.036,1.554427454,-0.697031916
1800.036,32760.036,1.554559844,-0.697029948
360.036,6480.036,1.555085502,-0.697033844
720.036,12960.036,1.555091089,-0.697027889
1080.036,19440.036,1.555092952,-0.697025904
1440.036,25920.036,1.555093884,-0.697024911
1800.036,32400.036,1.555094443,-0.697024315
1800.036,32040.036,1.555640851,-0.697018554
1440.036,25560.036,1.555778767,-0.697017705
1080.036,19080.036,1.556010321,-0.697016288
1800.036,31680.036,1.556199465,-0.697012658
720.036,12600.036,1.556479891,-0.69701344
1440.036,25200.036,1.55648288,-0.697010289
1800.036,31320.036,1.556770699,-0.697006625
1080.036,18720.036,1.556962358,-0.697006295
1440.036,24840.036,1.557207046,-0.697002654
1800.036,30960.036,1.557354984,-0.697000448
360.036,6120.036,1.55794253,-0.697004807
720.036,12240.036,1.557948932,-0.696998129
1080.036,18360.036,1.557951067,-0.696995903
1440.036,24480.036,1.557952134,-0.69699479
1800.036,30600.036,1.557952774,-0.696994122
1800.036,30240.036,1.558564543,-0.696987643
1440.036,24120.036,1.558719063,-0.696986686
1080.036,18000.036,1.558978609,-0.696985088
1800.036,29880.036,1.559190786,-0.696981004
720.036,11880.036,1.559505374,-0.696981877
1440.036,23760.036,1.559508809,-0.696978331
2160.036,35640.036,1.559509955,-0.69697715
1800.036,29520.036,1.559832023,-0.696974199
1080.036,17640.036,1.560047318,-0.696973823
2160.036,35280.036,1.560049664,-0.69697141
1440.036,23400.036,1.560322406,-0.696969714
1800.036,29160.036,1.5604888,-0.696967223
2160.036,34920.036,1.560600294,-0.69696555
360.036,5760.036,1.561149878,-0.696972133
720.036,11520.036,1.561157259,-0.696964593
1080.036,17280.036,1.56115972,-0.696962079
1440.036,23040.036,1.561160951,-0.696960822
1800.036,28800.036,1.561161689,-0.696960068
2160.036,34560.036,1.561162181,-0.696959565
2160.036,34200.036,1.561735674,-0.696953451
1800.036,28440.036,1.56185129,-0.696952728
1440.036,22680.036,1.562025609,-0.696951641
1080.036,16920.036,1.562318551,-0.696949825
2160.036,33840.036,1.562321136,-0.696947203
1800.036,28080.036,1.562558234,-0.696945195
720.036,11160.036,1.562913646,-0.696946176
1440.036,22320.036,1.56291762,-0.696942157
2160.036,33480.036,1.562918945,-0.696940818
1800.036,27720.036,1.563283183,-0.696937462
1080.036,16560.036,1.56352678,-0.696937028
2160.036,33120.036,1.563529497,-0.696934291
