alpha_1,alpha_2,omega_n,zeta,PO,omega_d,t_p,t_r,t_s
9.60001,1.40001,7.268065284,0.854979619,0.563527452,3.769666339,0.83338746,0.688736784,0.735193367
0.70001,0.10001,7.328651626,0.857414687,0.533117485,3.771515636,0.832978823,0.689648766,0.728287842
4.80001,0.70001,7.277885365,0.854418219,0.570676784,3.781486616,0.830782434,0.686297929,0.734397448
8.90001,1.30001,7.27389699,0.854183102,0.573686397,3.7822252,0.8306202,0.686044314,0.734882727
8.20001,1.20001,7.280715189,0.853253305,0.585677623,3.796868868,0.827416685,0.682928127,0.734523372
4.10001,0.60001,7.292183805,0.852602542,0.594155247,3.810603236,0.824434469,0.680139542,0.733600324
7.50001,1.10001,7.288793331,0.852153721,0.600042943,3.814163882,0.823664832,0.679279583,0.734102883
6.80001,1.00001,7.29851623,0.850833167,0.617559754,3.834902702,0.819210524,0.674949395,0.733604235
9.50001,1.40001,7.301246049,0.85007148,0.627794913,3.845327774,0.816989562,0.672742996,0.733609882
3.40001,0.50001,7.3122986,0.850059307,0.627959276,3.851292464,0.815724249,0.671695084,0.732505518
6.10001,0.90001,7.310443176,0.849217585,0.639383777,3.860228919,0.813835842,0.669726635,0.733003448
8.80001,1.30001,7.30972746,0.848892502,0.643827625,3.863669977,0.813111025,0.668970902,0.733196579
8.10001,1.20001,7.319655149,0.847515591,0.662845052,3.885057021,0.808634889,0.664619131,0.732720649
5.40001,0.80001,7.325419478,0.847195662,0.667309081,3.891856251,0.807222171,0.66330321,0.73226565
7.40001,1.10001,7.331433564,0.845886329,0.685756666,3.910316975,0.803411251,0.659542717,0.732166755
2.70001,0.40001,7.342685313,0.846241553,0.680723477,3.912178562,0.803028953,0.659399208,0.730908136
9.40001,1.40001,7.334884375,0.845135968,0.696457983,3.920872681,0.801248321,0.657408698,0.732113081
4.70001,0.70001,7.34478612,0.844592016,0.704274571,3.932475086,0.798884312,0.655210516,0.731338123
6.70001,1.00001,7.345633484,0.843928331,0.713878887,3.940608692,0.797235376,0.653543871,0.731514144
8.70001,1.30001,7.346091438,0.84357004,0.719094507,3.944991916,0.79634958,0.652648518,0.731609884
8.00001,1.20001,7.359225166,0.841740325,0.746065878,3.973117641,0.790712216,0.64717314,0.731033208
6.00001,0.90001,7.363087318,0.841530919,0.749188592,3.977605691,0.789820032,0.646345431,0.730734048
4.00001,0.60001,7.370805551,0.841113351,0.755437494,3.986565649,0.788044881,0.644698967,0.730137318
